Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Mato Grosso,Brazil,"3,524.464",3.9,NA,120,4.41,4.85,7.52,365,2.68,2.94,4.56,NA,NA,NA,NA,NA,NA,NA
Ucayali,Peru,552.917,5.4,NA,120,2.70,4.91,7.63,365,1.60,2.91,4.52,10.60,64.4,69.1,66.7,-2.64,-2.19,-2.42
Sonora,Mexico,"3,077.474",17.1,5.60,120,2.32,3.22,5.00,365,2.10,2.91,4.52,7.99,68.4,75.1,71.7,-4.01,-3.47,-3.75
Moquegua,Peru,197.521,12.6,NA,120,3.36,3.61,5.60,365,2.67,2.87,4.45,15.67,67.6,72.2,69.8,-3.08,-2.72,-2.90
Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,120,1.94,2.78,4.31,365,1.95,2.79,4.33,7.59,68.8,75.5,72.0,-3.92,-3.39,-3.66
Lima,Peru,"10,693.435",307.0,NA,120,2.78,3.12,4.84,365,2.48,2.79,4.32,14.56,68.7,73.1,70.8,-3.11,-2.76,-2.94
Distrito Federal,Brazil,"3,049.880",529.4,NA,120,3.49,3.83,5.95,365,2.51,2.76,4.28,NA,NA,NA,NA,NA,NA,NA
Rio de Janeiro,Brazil,"17,463.128",399.2,NA,120,3.21,3.53,5.47,365,2.48,2.73,4.23,NA,NA,NA,NA,NA,NA,NA
Tacna,Peru,371.146,23.1,NA,120,3.78,5.14,7.98,365,1.97,2.68,4.16,12.41,66.8,71.4,69.1,-2.73,-2.37,-2.56
Roraima,Brazil,612.715,2.7,NA,120,3.58,3.94,6.11,365,2.42,2.66,4.13,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,Mexico,"1,360.852",242.3,4.37,120,2.24,3.42,5.31,365,1.73,2.64,4.10,6.97,69.1,75.6,72.3,-3.82,-3.26,-3.55
Espirito Santo,Brazil,"4,064.780",88.2,NA,120,3.27,3.59,5.58,365,2.29,2.52,3.91,NA,NA,NA,NA,NA,NA,NA
Chihuahua,Mexico,"3,832.828",15.5,7.58,120,1.78,2.59,4.02,365,1.72,2.51,3.89,7.36,68.8,75.5,72.1,-3.58,-3.11,-3.35
Hidalgo,Mexico,"3,072.136",147.6,4.87,120,2.65,3.28,5.09,365,1.97,2.43,3.78,8.56,68.9,75.0,71.9,-3.44,-2.84,-3.15
Nuevo Leon,Mexico,"5,360.737",83.5,4.97,120,2.37,3.29,5.11,365,1.73,2.40,3.73,7.44,69.4,76.1,72.7,-3.50,-3.04,-3.28
Loreto,Peru,981.170,2.7,NA,120,1.22,2.02,3.14,365,1.43,2.36,3.66,11.49,65.8,70.2,68.0,-2.16,-1.80,-1.98
Sinaloa,Mexico,"3,215.596",56.0,5.59,120,1.68,2.14,3.32,365,1.85,2.35,3.65,8.27,68.8,75.4,72.0,-3.32,-2.86,-3.09
Tabasco,Mexico,"2,555.914",103.3,4.98,120,0.99,1.49,2.31,365,1.57,2.35,3.64,7.16,68.7,75.4,72.0,-3.32,-2.87,-3.10
Rio Grande do Sul,Brazil,"11,507.839",40.9,NA,120,4.20,4.61,7.15,365,2.12,2.33,3.62,NA,NA,NA,NA,NA,NA,NA
Tlaxcala,Mexico,"1,345.008",336.5,4.73,120,2.20,2.89,4.49,365,1.76,2.31,3.59,7.87,69.1,75.3,72.1,-3.37,-2.81,-3.10
Goias,Brazil,"7,098.918",20.9,NA,120,3.47,3.81,5.91,365,2.07,2.27,3.53,NA,NA,NA,NA,NA,NA,NA
Sao Paulo,Brazil,"46,446.155",187.1,NA,120,3.20,3.51,5.45,365,2.03,2.23,3.46,NA,NA,NA,NA,NA,NA,NA
Guanajuato,Mexico,"6,295.742",205.6,4.95,120,2.54,3.36,5.22,365,1.67,2.21,3.43,7.77,69.0,75.5,72.2,-3.20,-2.74,-2.98
La Libertad,Peru,"1,990.970",78.1,NA,120,1.88,2.22,3.45,365,1.86,2.20,3.42,14.22,68.0,72.5,70.2,-2.49,-2.19,-2.35
Ancash,Peru,"1,216.095",33.9,NA,120,2.67,2.76,4.28,365,2.12,2.19,3.41,17.40,66.8,71.5,69.1,-2.33,-2.00,-2.17
Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,120,3.63,3.99,6.19,365,2.00,2.19,3.40,NA,NA,NA,NA,NA,NA,NA
Puebla,Mexico,"6,612.709",192.8,5.37,120,2.59,3.34,5.18,365,1.70,2.19,3.40,8.10,68.6,75.2,71.8,-3.12,-2.66,-2.90
Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,120,2.14,2.81,4.36,365,1.67,2.19,3.39,7.87,69.2,75.3,72.2,-3.19,-2.66,-2.93
Peru,Cntry/Terr,"32,971.846",25.8,5.45,120,2.13,2.54,3.94,365,1.81,2.16,3.36,7.74,70.9,76.7,73.8,-3.34,-2.93,-3.14
Lambayeque,Peru,"1,340.725",92.6,NA,120,1.27,1.43,2.23,365,1.86,2.09,3.25,14.29,68.4,72.7,70.5,-2.44,-2.16,-2.30
Parana,Brazil,"11,565.208",58.0,NA,120,3.75,4.12,6.39,365,1.90,2.08,3.23,NA,NA,NA,NA,NA,NA,NA
Jordan,Cntry/Terr,"10,203.140",114.9,3.86,120,1.48,3.54,5.49,365,0.86,2.06,3.20,4.83,70.5,74.5,72.5,-2.49,-1.93,-2.22
Brazil,Cntry/Terr,"212,559.409",25.4,6.42,120,2.95,3.24,5.03,365,1.86,2.04,3.17,8.63,69.4,76.7,73.0,-3.07,-2.97,-3.03
Ceara,Brazil,"9,236.905",62.0,NA,120,2.45,2.69,4.17,365,1.86,2.04,3.17,NA,NA,NA,NA,NA,NA,NA
Santa Catarina,Brazil,"7,247.033",75.7,NA,120,3.44,3.78,5.87,365,1.83,2.01,3.12,NA,NA,NA,NA,NA,NA,NA
San Luis Potosi,Mexico,"2,972.710",48.6,5.14,120,2.15,2.48,3.86,365,1.72,1.99,3.09,8.72,69.4,75.2,72.2,-2.90,-2.35,-2.63
Sergipe,Brazil,"2,325.083",106.0,NA,120,2.31,2.53,3.93,365,1.80,1.98,3.07,NA,NA,NA,NA,NA,NA,NA
San Martin,Peru,909.611,17.7,NA,120,1.20,1.84,2.86,365,1.27,1.95,3.03,11.95,65.7,70.3,67.9,-1.84,-1.55,-1.70
Colima,Mexico,749.741,133.2,4.95,120,1.53,1.92,2.98,365,1.56,1.95,3.03,7.87,70.1,75.6,72.8,-3.00,-2.37,-2.69
Amapa,Brazil,855.439,6.0,NA,120,2.17,2.39,3.70,365,1.77,1.94,3.02,NA,NA,NA,NA,NA,NA,NA
State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,120,1.09,3.33,5.17,365,0.63,1.93,2.99,4.13,70.3,74.2,72.2,-2.31,-1.78,-2.05
North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,120,3.38,2.79,4.33,365,2.28,1.88,2.92,12.59,71.6,76.2,73.8,-2.35,-1.77,-2.07
Junin,Peru,"1,393.373",31.4,NA,120,2.43,3.06,4.75,365,1.49,1.88,2.91,14.52,65.7,70.3,68.0,-1.86,-1.57,-1.72
Yucatan,Mexico,"2,269.237",57.4,5.71,120,1.79,2.11,3.27,365,1.58,1.87,2.90,8.53,69.0,75.6,72.2,-2.67,-2.29,-2.49
Acre,Brazil,892.059,5.4,NA,120,2.49,2.73,4.24,365,1.69,1.85,2.87,NA,NA,NA,NA,NA,NA,NA
South Africa,Cntry/Terr,"59,308.690",48.9,9.52,120,1.33,2.65,4.12,365,0.91,1.83,2.84,10.42,59.6,66.6,63.0,-1.20,-1.16,-1.18
Pasco,Peru,284.581,11.4,NA,120,2.31,3.39,5.27,365,1.24,1.82,2.83,12.66,65.5,70.3,67.8,-1.79,-1.54,-1.67
Paraiba,Brazil,"4,064.251",72.0,NA,120,2.32,2.55,3.96,365,1.64,1.81,2.80,NA,NA,NA,NA,NA,NA,NA
Piura,Peru,"2,076.318",58.2,NA,120,1.04,1.31,2.03,365,1.41,1.78,2.76,13.41,67.7,72.0,69.8,-1.84,-1.62,-1.73
Morelos,Mexico,"2,047.959",419.8,5.49,120,2.48,2.92,4.54,365,1.51,1.78,2.76,8.33,70.0,75.7,72.8,-2.68,-2.16,-2.43
