LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
CYP,Cyprus,Cntry/Terr,1207.361,130.667,6.991,181,0.4259095,0.348206999,0.501852742,365,0.294029706,0.240387222,0.346457673,7.720874903,78.65405927,82.77072194,80.6621874,-0.435976257,-0.372494787,-0.405009686
SYR,Syrian Arab Republic,Cntry/Terr,17500.657,95.304,5.522,181,0.133895526,0.296455772,0.427266375,365,0.106510287,0.235822588,0.339878902,5.134207548,69.06945034,78.12491462,73.48674999,-0.27331466,-0.253350772,-0.263576178
REU,Reunion,Cntry/Terr,895.308,358.123,6.21,181,0.439214264,0.39126757,0.563913718,365,0.262479504,0.233826008,0.337001335,6.648356012,77.11982069,83.34228414,80.15516871,-0.510207806,-0.46865381,-0.489937564
DJI,Djibouti,Cntry/Terr,988.002,42.623,7.078,181,0.191859947,0.437953758,0.631200106,365,0.102226514,0.233349829,0.336315043,7.215466098,64.96776648,69.27254934,67.06766055,-0.237252126,-0.171879841,-0.205363206
SEN,Senegal,Cntry/Terr,16743.93,86.968,5.806,181,0.091049735,0.335508878,0.483551598,365,0.062948185,0.231957566,0.334308446,5.610901517,65.7676583,69.99981833,67.83212661,-0.205709444,-0.14864089,-0.177871125
BLR,Belarus,Cntry/Terr,9449.321,46.569,12.554,181,0.364503375,0.281081723,0.405108553,365,0.289967925,0.223604744,0.322269956,12.95450248,69.50031372,79.34863266,74.30437174,-0.223030608,-0.267187812,-0.244570708
US15,Hawaii,U.S.A.,1439.609391,86.53318852,7.98,181,0.319377609,0.185675721,0.267604816,365,0.345927168,0.201110768,0.289850551,8.765795163,78.50298451,84.80151623,81.57543901,-0.512516322,-0.523412594,-0.517831577
PAK,Pakistan,Cntry/Terr,220892.331,286.546,6.983,181,0.110509203,0.272904475,0.393323109,365,0.080971575,0.19996077,0.288193118,7.017610919,66.21994887,68.31251226,67.2407115,-0.216434741,-0.132284203,-0.175385698
DNK,Denmark,Cntry/Terr,5792.203,136.512,9.717,181,0.430665631,0.256592362,0.369813304,365,0.333206554,0.198525841,0.28612503,10.29988613,78.71702587,82.63493987,80.62820343,-0.389974052,-0.330757014,-0.361087692
ES05,Canarias,Spain,2136.112961,286.8420788,7.05,181,0.354014738,0.230021741,0.331518442,365,0.293991943,0.191021817,0.275309868,8.258566425,79.68065884,84.82297893,82.18910767,-0.418621256,-0.369978127,-0.3948929
US50,Vermont,U.S.A.,634.3248119,26.47896592,9.63,181,0.381490596,0.228042295,0.328665568,365,0.31529588,0.188473312,0.27163684,10.46332165,76.47749681,81.56278233,78.95812389,-0.363742532,-0.309050734,-0.337063606
SOM,Somalia,Cntry/Terr,15893.219,25.334,10.935,181,0.081839343,0.321294284,0.463064838,365,0.043100142,0.169207483,0.243869996,10.59443756,55.82808806,59.2950936,57.51931028,-0.121223918,-0.084750087,-0.103431805
LKA,Sri Lanka,Cntry/Terr,21413.25,341.465,6.616,181,0.266136144,0.302510264,0.435992402,365,0.140987473,0.160256916,0.230970007,7.142411999,73.54352881,80.19469044,76.7879979,-0.234487857,-0.200705637,-0.218008725
GAB,Gabon,Cntry/Terr,2225.728,8.638,6.909,181,0.086072775,0.258305394,0.372282209,365,0.05256707,0.157754386,0.22736324,6.808079301,64.33068171,68.63472726,66.43021613,-0.135800336,-0.100868992,-0.118760656
CMR,Cameroon,Cntry/Terr,26545.864,56.157,9.355,181,0.066545935,0.266521999,0.384124376,365,0.038085029,0.152533706,0.219838943,8.992458832,58.15332635,60.76393051,59.42679179,-0.10068582,-0.066828593,-0.0841701
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,28435.943,32.238,6.953,181,0.14580411,0.206478115,0.297586231,365,0.106660785,0.151045933,0.217694694,7.400994047,68.29980981,75.97588632,72.04423737,-0.191963866,-0.189294491,-0.190661732
SDN,Sudan,Cntry/Terr,43849.269,24.843,7.243,181,0.059141577,0.178976511,0.257949591,365,0.049761377,0.15058979,0.217037277,7.16591771,63.50689059,67.30862544,65.36139539,-0.149378995,-0.104810265,-0.127638151
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.351,8.469,181,0.135181158,0.087523384,0.126142928,365,0.229834423,0.148806881,0.214467663,9.544845232,77.87792463,82.95214428,80.35315373,-0.26434913,-0.257066015,-0.260796391
BGD,Bangladesh,Cntry/Terr,164689.383,1265.187,5.548,181,0.08361916,0.15668478,0.225821672,365,0.076149414,0.142688042,0.205648897,5.706917824,70.9425386,74.67997131,72.76567651,-0.189734131,-0.162696865,-0.17654522
