"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"223","NOR","Norway","Cntry/Terr",5421.242,14.842,7.951,111,0.152054515242877,0.124480951410754,0.14375404121077,203,0.0815916934876191,0.0667958568433844,0.0771377005762752,80.5674391905451,84.4089297888088,-0.0640995650658169,-0.0736040832884441
"92","COG","Congo","Cntry/Terr",5518.092,16.158,6.621,92,0.0266750993230836,0.124374708949252,0.143631349481506,184,0.115454074203035,0.538313529861223,0.621659334050529,63.0110524179252,65.7097603673644,-0.171479310491037,-0.440601564060259
"263","TJK","Tajikistan","Cntry/Terr",9537.642,68.145,4.7455,61,0.0327124880552237,0.124168127903485,0.143392783983492,153,0.218031149144436,0.827589743959783,0.955723496731949,68.7972273826186,73.1551308425341,-0.269174135563418,-0.418486757176311
"243","SEN","Senegal","Cntry/Terr",16743.93,86.968,5.5175,92,0.0266105518472249,0.122799530175912,0.141812289523088,184,0.822492616337227,3.79555100695519,4.38320714685895,64.6748759776454,68.9590983121615,-1.29848553913736,-1.1893667491084
"191","LBR","Liberia","Cntry/Terr",5057.677,52.509,7.3355,89,0.029271332238145,0.121506237609163,0.140318759542549,181,0.0228343072105263,0.0947859405574723,0.109461422415859,62.8401034744725,65.1877214460461,-0.0325287560308141,-0.53170195280228
"248","SOM","Somalia","Cntry/Terr",15893.219,25.334,10.543,85,0.0243833179272686,0.119737970571119,0.138276715922398,177,0.0152337487939279,0.0748076275023774,0.0863899146414115,55.9284154723877,58.5766676140105,-0.0208967647652756,-0.803176042358857
"177","IT19","Sicilia","Italy",5005.16469227749,193903.958257995,10.4,112,0.184116961367437,0.116005829914351,0.133966736799511,204,0.168039043371841,0.105875681086553,0.122268161109346,78.5468322263121,84.4115629361002,-0.0987805892460614,-0.114090233935258
"7","ARG","Argentina","Cntry/Terr",45195.777,16.515,7.6115,117,0.0904634099456704,0.115167629075925,0.132998759317781,209,0.957847438986173,1.2194214061877,1.40822152378937,72.6298069595824,79.2622977882115,-0.774449029686153,-0.844233272072486
"249","SRB","Serbia","Cntry/Terr",8737.37,99.901,13.226,104,0.132111572739588,0.114660143136144,0.132412700536301,196,0.0586584396602975,0.0509098858496683,0.0587921424565574,73.4963695866617,78.661617282404,-0.027488320210594,-0.0604734154927939
"221","NIC","Nicaragua","Cntry/Terr",6624.554,55.049,5.102,97,0.0472749195994113,0.110437215766147,0.127535947360038,189,0.081857736635601,0.191224873559951,0.220831766167613,71.0551276216066,77.9109980987281,-0.116323151863497,-0.239267412174073
"149","HTI","Haiti","Cntry/Terr",11402.533,413.735,8.422,87,0.0387391238359963,0.105438842549972,0.121763687900566,179,0.24688697955859,0.671968665980203,0.776007977179707,61.7964066712678,65.6702755956473,-0.267716263261796,-0.76611318442572
"187","KGZ","Kyrgyzstan","Cntry/Terr",6524.191,34.016,5.931,91,0.0376047634627281,0.10526309374979,0.121560728331429,183,0.698926875378112,1.95643313326765,2.25934302460335,66.925854930887,74.886426730562,-0.601828712069633,-0.806297865996697
"250","SSD","South Sudan","Cntry/Terr",11193.729,18.322,10.2335,49,0.0253567631210187,0.104665752838199,0.120870902546451,141,0.204846323819042,0.845549354873496,0.976463751511173,56.3828699099779,58.8038776880712,-0.188398418070832,-0.814347023345491
"126","ES19","Melilla","Spain",85.187199250866,7098.9332709055,5.78,99,0.0867963668128722,0.101425431774742,0.11712889027539,191,0.493454188961413,0.576623262173733,0.665900471149923,NA,NA,NA,NA
"231","POL","Poland","Cntry/Terr",37846.605,123.589,10.37,112,0.126322427071068,0.101212604882472,0.116883111901307,204,0.202728509753579,0.162431019034789,0.187579827592942,74.8647899847725,82.5189748654105,-0.119100848575002,-0.147038632839553
"176","IT18","Calabria","Italy",1949.98662324806,128147.098862349,10.1,109,0.167030080173486,0.100736865858502,0.116333715335147,201,0.130348604806305,0.0786140430728239,0.0907856684863007,79.0416714347611,85.1232285926552,-0.0765430037014028,-0.0959777581166321
"145","GUY","Guyana","Cntry/Terr",786.559,3.996,7.6665,112,0.0498554917231711,0.0984492684006074,0.113691934600754,204,0.032474187791006,0.064126536905514,0.0740550961777343,66.9381575914363,72.9457392579686,-0.0433996069238418,-0.261432584708331
"175","IT17","Basilicata","Italy",564.285947812522,56076.893013225,11.1,101,0.173390077384884,0.0958842697564623,0.110729803313861,193,0.20394635237154,0.112781811748266,0.130243551564669,78.6513220802261,85.4437702748308,-0.104048948919299,-0.118779396767096
"137","GLP","Guadeloupe","Cntry/Terr",400.127,245.778,8.491,97,0.132019939339363,0.0946856097915865,0.10934555767599,NA,NA,NA,NA,NA,NA,NA,NA
