LocID,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
GBR,United Kingdom,Cntry/Terr,"67,886.004",280.6,9.42,106,2.16,1.56,1.85,152,1.56,1.13,1.34,79.00,82.4,-0.8,-0.65
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.15,97,0.87,1.52,1.81,143,0.90,1.57,1.87,73.59,79.1,-0.9,-0.90
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,72,1.06,1.51,1.80,118,3.12,4.47,5.32,NA,NA,NA,NA
US10,Delaware,U.S.A.,979.254,193.4,9.54,85,1.90,1.45,1.73,189,1.14,0.87,1.04,75.21,80.7,-0.7,-0.65
MYT,Mayotte,Cntry/Terr,272.813,727.5,2.75,80,0.49,1.45,1.73,NA,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,82,1.00,1.44,1.71,128,2.22,3.17,3.78,NA,NA,NA,NA
US42,Pennsylvania,U.S.A.,"12,966.170",111.7,10.59,92,1.95,1.41,1.68,196,1.27,0.92,1.10,74.82,80.3,-0.7,-0.68
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,95,0.98,1.41,1.68,141,2.23,3.19,3.80,NA,NA,NA,NA
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.67,92,0.90,1.40,1.67,138,1.59,2.47,2.94,73.07,78.5,-1.2,-1.17
SWE,Sweden,Cntry/Terr,"10,099.270",24.6,9.14,97,1.89,1.29,1.53,143,2.16,1.48,1.76,80.20,83.8,-1.0,-0.84
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.63,95,0.87,1.24,1.48,141,2.03,2.90,3.46,71.05,78.2,-1.4,-1.46
IRL,Ireland,Cntry/Terr,"4,937.796",71.7,6.27,101,1.26,1.24,1.47,147,0.87,0.86,1.02,80.21,83.5,-0.6,-0.50
US18,Indiana,U.S.A.,"6,767.587",72.8,9.84,94,1.43,1.22,1.46,198,0.93,0.80,0.95,74.03,79.4,-0.6,-0.56
ESP,Spain,Cntry/Terr,"46,754.783",93.7,9.26,108,1.97,1.21,1.44,154,1.37,0.85,1.01,80.28,85.7,-0.7,-0.62
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,83,0.81,1.17,1.39,129,1.26,1.80,2.14,NA,NA,NA,NA
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,88,1.29,1.16,1.38,192,0.85,0.76,0.91,71.79,77.8,-0.5,-0.48
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,80,0.80,1.14,1.36,126,3.44,4.93,5.87,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,79,0.80,1.14,1.36,125,1.65,2.36,2.81,NA,NA,NA,NA
US08,Colorado,U.S.A.,"5,762.204",21.4,6.79,94,1.11,1.07,1.27,198,1.86,1.79,2.14,76.28,81.2,-1.6,-1.37
MEX,Mexico,Cntry/Terr,"128,932.753",66.3,6.14,93,0.60,1.03,1.23,139,1.06,1.82,2.16,71.49,77.2,-0.9,-0.82
USA,United States of America,Cntry/Terr,"331,002.647",36.2,8.93,110,1.19,1.00,1.19,214,1.04,0.87,1.04,75.66,80.8,-0.8,-0.74
ITA,Italy,Cntry/Terr,"60,461.828",205.6,10.70,119,1.76,0.97,1.16,165,1.29,0.72,0.85,80.88,85.1,-0.6,-0.54
US13,Georgia (USA),U.S.A.,"10,628.510",70.9,7.97,95,0.94,0.95,1.13,199,1.75,1.77,2.11,73.92,79.1,-1.3,-1.17
BR22,Piaui,Brazil,"3,310.800",13.2,NA,73,0.64,0.91,1.09,119,0.83,1.20,1.42,NA,NA,NA,NA
KWT,Kuwait,Cntry/Terr,"4,270.563",239.7,2.97,78,0.34,0.90,1.07,NA,NA,NA,NA,NA,NA,NA,NA
CHL,Chile,Cntry/Terr,"19,116.209",25.7,6.36,91,0.81,0.90,1.07,137,1.16,1.29,1.54,77.19,81.8,-0.8,-0.74
CHI,Channel Islands,Cntry/Terr,173.859,915.0,7.89,86,1.17,0.87,1.04,NA,NA,NA,NA,NA,NA,NA,NA
NLD,Netherlands,Cntry/Terr,"17,134.873",508.2,8.96,106,1.23,0.87,1.04,152,0.93,0.66,0.78,80.28,83.7,-0.5,-0.40
US27,Minnesota,U.S.A.,"5,677.124",27.5,9.96,86,1.03,0.85,1.01,190,1.08,0.89,1.06,77.65,82.2,-0.8,-0.72
FRA,France,Cntry/Terr,"65,273.512",119.2,9.39,126,1.32,0.84,1.00,172,1.13,0.72,0.85,79.27,85.0,-0.6,-0.60
US33,New Hampshire,U.S.A.,"1,372.567",59.1,9.31,79,1.12,0.82,0.98,183,1.15,0.85,1.01,75.68,81.3,-0.7,-0.63
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,83,0.55,0.78,0.93,129,2.31,3.30,3.93,NA,NA,NA,NA
US35,New Mexico,U.S.A.,"2,121.624",6.7,8.94,82,0.96,0.77,0.92,186,0.90,0.72,0.86,74.63,80.6,-0.6,-0.59
BR17,Tocantins,Brazil,"1,590.921",5.7,NA,66,0.53,0.76,0.90,112,1.78,2.54,3.03,NA,NA,NA,NA
US39,Ohio,U.S.A.,"11,827.215",111.5,10.61,91,0.90,0.70,0.84,195,0.58,0.46,0.54,74.22,79.4,-0.3,-0.34
GNQ,Equatorial Guinea,Cntry/Terr,"1,402.985",50.0,8.94,60,0.14,0.70,0.83,NA,NA,NA,NA,NA,NA,NA,NA
US19,Iowa,U.S.A.,"3,194.037",22.1,9.71,86,0.91,0.69,0.82,190,0.75,0.57,0.68,76.43,81.3,-0.5,-0.45
IRN,Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.85,122,0.33,0.66,0.79,NA,NA,NA,NA,NA,NA,NA,NA
US51,Virginia,U.S.A.,"8,614.990",84.0,8.10,91,0.74,0.65,0.77,195,0.48,0.42,0.50,76.62,81.3,-0.4,-0.36
DJI,Djibouti,Cntry/Terr,988.002,42.6,7.05,72,0.22,0.61,0.73,NA,NA,NA,NA,NA,NA,NA,NA
