LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
SVN,Slovenia,Cntry/Terr,2078.932,103.2,10.20,123,0.16,0.11,0.13,230,0.11,0.08,0.09,78.7,84.1,81.3,-0.1,-0.07,-0.07
ALB,Albania,Cntry/Terr,2877.800,105.0,8.26,127,0.10,0.11,0.12,234,0.39,0.42,0.46,76.8,80.1,78.4,-0.3,-0.24,-0.29
BGD,Bangladesh,Cntry/Terr,164689.383,1265.2,5.54,121,0.05,0.11,0.12,228,0.24,0.57,0.64,70.8,74.5,72.6,-0.4,-0.30,-0.33
TJK,Tajikistan,Cntry/Terr,9537.642,68.1,4.75,77,0.03,0.11,0.12,184,0.01,0.04,0.05,69.0,73.6,71.3,0.0,-0.01,-0.01
SOM,Somalia,Cntry/Terr,15893.219,25.3,10.54,101,0.02,0.11,0.12,208,0.01,0.05,0.06,55.9,59.4,57.6,0.0,-0.01,-0.01
IT19,Sicilia,Italy,5005.165,193904.0,10.40,128,0.16,0.11,0.12,235,0.11,0.08,0.08,78.6,84.5,81.4,-0.1,-0.07,-0.07
POL,Poland,Cntry/Terr,37846.605,123.6,10.37,128,0.12,0.10,0.11,235,0.09,0.07,0.08,74.9,82.6,78.7,-0.1,-0.06,-0.06
US02,Alaska,U.S.A.,745.469,0.5,5.96,105,0.08,0.10,0.11,212,0.05,0.07,0.07,76.2,81.2,78.7,-0.1,-0.06,-0.06
UKR,Ukraine,Cntry/Terr,43733.759,75.5,15.19,127,0.10,0.09,0.10,234,0.17,0.17,0.19,67.1,76.9,71.9,-0.1,-0.08,-0.08
BGR,Bulgaria,Cntry/Terr,6948.445,64.0,15.51,130,0.12,0.09,0.10,237,0.20,0.15,0.17,71.6,78.7,75.1,-0.1,-0.08,-0.09
IDN,Indonesia,Cntry/Terr,273523.621,151.0,6.60,130,0.04,0.09,0.10,237,0.25,0.58,0.64,69.4,73.9,71.6,-0.3,-0.24,-0.28
IT18,Calabria,Italy,1949.987,128147.1,10.10,125,0.15,0.09,0.10,232,0.09,0.05,0.06,79.1,85.2,82.0,-0.1,-0.05,-0.06
ES19,Melilla,Spain,85.187,7098.9,5.78,115,0.07,0.09,0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,South Sudan,Cntry/Terr,11193.729,18.3,10.23,65,0.02,0.09,0.10,172,0.01,0.03,0.04,56.6,59.6,58.1,0.0,-0.01,-0.01
PHL,Philippines,Cntry/Terr,109581.085,367.5,6.00,168,0.03,0.09,0.10,275,0.03,0.07,0.08,67.3,75.6,71.4,0.0,-0.05,-0.04
US30,Montana,U.S.A.,1076.137,2.9,9.71,111,0.11,0.09,0.10,218,0.81,0.66,0.73,76.0,80.6,78.2,-0.6,-0.48,-0.54
IT17,Basilicata,Italy,564.286,56076.9,11.10,117,0.15,0.09,0.10,224,0.08,0.05,0.05,78.7,85.5,82.0,0.0,-0.04,-0.04
GLP,Guadeloupe,Cntry/Terr,400.127,245.8,8.49,113,0.11,0.08,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZE,Czechia,Cntry/Terr,10708.982,138.6,10.68,118,0.10,0.08,0.09,225,0.05,0.04,0.05,76.9,82.0,79.4,0.0,-0.03,-0.03
ISL,Iceland,Cntry/Terr,341.250,3.4,6.79,120,0.09,0.08,0.09,227,0.05,0.05,0.05,81.6,84.6,83.1,-0.1,-0.04,-0.05
MTQ,Martinique,Cntry/Terr,375.265,354.0,9.40,115,0.13,0.08,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRB,Barbados,Cntry/Terr,287.371,668.3,9.14,103,0.09,0.07,0.08,210,0.05,0.04,0.04,77.9,80.6,79.2,0.0,-0.03,-0.03
KEN,Kenya,Cntry/Terr,53771.300,94.5,5.43,114,0.01,0.07,0.08,221,0.08,0.45,0.49,64.2,69.0,66.6,-0.2,-0.14,-0.16
HRV,Croatia,Cntry/Terr,4105.268,73.4,13.22,116,0.09,0.07,0.07,223,0.05,0.04,0.04,75.4,81.7,78.5,0.0,-0.02,-0.02
LBY,Libya,Cntry/Terr,6871.287,3.9,5.15,107,0.02,0.06,0.07,214,0.24,0.69,0.77,69.9,75.8,72.8,-0.3,-0.27,-0.31
NGA,Nigeria,Cntry/Terr,206139.587,226.3,11.48,115,0.01,0.06,0.07,222,0.04,0.23,0.26,54.0,55.9,54.9,-0.1,-0.03,-0.05
GIN,Guinea,Cntry/Terr,13132.792,53.4,8.11,94,0.01,0.06,0.07,201,0.03,0.14,0.15,61.0,62.4,61.7,0.0,-0.03,-0.04
LTU,Lithuania,Cntry/Terr,2722.291,43.4,14.00,120,0.09,0.06,0.07,227,0.05,0.03,0.04,70.4,81.4,75.8,0.0,-0.03,-0.02
GHA,Ghana,Cntry/Terr,31072.945,136.6,7.19,117,0.01,0.06,0.07,224,0.02,0.08,0.09,63.2,65.4,64.2,0.0,-0.02,-0.03
MLT,Malta,Cntry/Terr,441.539,1379.8,8.60,101,0.07,0.06,0.06,208,0.04,0.03,0.03,80.8,84.3,82.6,0.0,-0.02,-0.02
CIV,Cote d'Ivoire,Cntry/Terr,26378.275,83.0,9.78,107,0.01,0.05,0.06,214,0.02,0.09,0.10,56.8,59.3,58.0,0.0,-0.02,-0.02
NER,Niger,Cntry/Terr,24206.636,19.1,7.89,114,0.01,0.05,0.06,221,0.00,0.03,0.03,61.5,63.9,62.7,0.0,-0.01,-0.01
