LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
TUR,Turkey,Cntry/Terr,"84,339.067",109.6,5.40,248,0.21,0.36,0.38,290,0.26,0.45,0.48,5.86,0.21,74.5,80.4,77.4,-0.40,-0.36,-0.38
UKR,Ukraine,Cntry/Terr,"43,733.759",75.5,15.19,253,0.35,0.36,0.38,295,0.66,0.68,0.72,15.47,0.53,66.8,76.6,71.6,-0.36,-0.39,-0.37
PRT,Portugal,Cntry/Terr,"10,196.707",111.3,10.59,249,0.53,0.36,0.38,291,1.02,0.69,0.73,12.02,0.81,78.4,84.3,81.3,-0.78,-0.71,-0.74
CHI,Channel Islands,Cntry/Terr,173.859,915.0,7.81,240,0.42,0.35,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,Lebanon,Cntry/Terr,"6,825.442",667.2,4.31,256,0.18,0.35,0.37,298,0.30,0.57,0.61,4.89,0.24,76.7,80.5,78.6,-0.56,-0.47,-0.51
HRV,Croatia,Cntry/Terr,"4,105.268",73.4,13.13,242,0.44,0.34,0.36,284,1.16,0.89,0.94,14.17,0.90,74.7,81.0,77.8,-0.73,-0.66,-0.70
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.52,244,0.06,0.34,0.36,286,0.08,0.41,0.44,6.31,0.06,63.4,66.5,65.0,-0.20,-0.14,-0.17
ARE,United Arab Emirates,Cntry/Terr,"9,890.400",118.3,1.45,245,0.08,0.34,0.36,287,0.09,0.36,0.38,1.77,0.07,77.1,79.2,78.1,-0.35,-0.24,-0.30
ES12,Galicia,Spain,"2,697.559",91.2,11.57,252,0.60,0.32,0.34,294,0.84,0.45,0.48,13.65,0.68,80.0,85.9,82.9,-0.59,-0.55,-0.57
IND,India,Cntry/Terr,"1,380,004.385",464.1,7.24,254,0.14,0.32,0.34,296,0.15,0.34,0.36,7.55,0.12,68.4,71.0,69.7,-0.23,-0.16,-0.19
SRB,Serbia,Cntry/Terr,"8,737.370",99.9,13.17,246,0.34,0.32,0.34,288,0.69,0.65,0.69,13.74,0.54,73.1,78.3,75.6,-0.47,-0.38,-0.42
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.75,248,0.15,0.32,0.34,290,0.37,0.77,0.81,7.17,0.29,70.0,75.2,72.5,-0.49,-0.39,-0.44
KAZ,Kazakhstan,Cntry/Terr,"18,776.707",7.0,7.13,239,0.16,0.32,0.33,281,0.38,0.77,0.81,7.56,0.29,68.7,77.2,72.9,-0.44,-0.46,-0.45
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,8.47,229,0.35,0.31,0.33,271,0.39,0.35,0.37,9.59,0.29,77.8,82.9,80.3,-0.33,-0.32,-0.32
MLT,Malta,Cntry/Terr,441.539,"1,379.8",8.24,227,0.38,0.30,0.32,269,0.88,0.70,0.74,9.47,0.65,80.1,83.7,81.8,-0.81,-0.66,-0.74
DJI,Djibouti,Cntry/Terr,988.002,42.6,7.08,226,0.10,0.30,0.32,268,0.08,0.25,0.27,7.17,0.06,65.1,69.3,67.2,-0.14,-0.10,-0.12
IT12,Lazio,Italy,"5,885.980","341,707.9",9.70,260,0.45,0.30,0.32,302,0.82,0.54,0.57,10.95,0.67,79.5,85.0,82.1,-0.73,-0.63,-0.68
US02,Alaska,U.S.A.,745.469,0.5,5.96,231,0.21,0.28,0.29,273,0.32,0.42,0.44,6.97,0.24,75.8,80.9,78.3,-0.45,-0.43,-0.44
IT10,Umbria,Italy,884.495,"104,653.3",11.40,253,0.48,0.26,0.28,295,1.04,0.57,0.60,12.87,0.84,80.6,85.5,83.0,-0.80,-0.68,-0.74
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.87,254,0.34,0.26,0.28,296,0.79,0.61,0.65,10.59,0.64,78.7,83.4,81.0,-0.72,-0.60,-0.66
EGY,Egypt,Cntry/Terr,"102,334.403",102.8,5.83,258,0.09,0.26,0.27,300,0.09,0.26,0.27,5.84,0.07,69.7,74.4,72.0,-0.16,-0.13,-0.14
IT16,Puglia,Italy,"4,034.220","206,586.8",9.60,262,0.39,0.26,0.27,304,0.80,0.54,0.57,10.85,0.66,79.5,85.0,82.2,-0.73,-0.62,-0.68
