LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
CYP,Cyprus,Cntry/Terr,"1,207.361",130.7,7.20,108,0.05,0.05,0.06,198,0.03,0.03,0.03,79.1,83.1,-0.02,-0.05
NGA,Nigeria,Cntry/Terr,"206,139.587",226.3,11.48,101,0.01,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
KEN,Kenya,Cntry/Terr,"53,771.300",94.5,5.43,100,0.01,0.05,0.06,190,0.21,1.06,1.22,64.0,68.6,-0.38,-0.60
BLZ,Belize,Cntry/Terr,397.621,17.4,4.81,89,0.02,0.05,0.06,179,0.10,0.25,0.29,71.6,77.7,-0.16,-0.25
BFA,Burkina Faso,Cntry/Terr,"20,903.278",76.4,7.76,108,0.01,0.05,0.06,198,0.01,0.04,0.05,61.1,62.1,-0.01,-0.57
CIV,Cote d'Ivoire,Cntry/Terr,"26,378.275",83.0,9.78,93,0.01,0.05,0.05,183,0.14,0.67,0.77,56.6,58.7,-0.16,-0.69
LVA,Latvia,Cntry/Terr,"1,886.202",30.3,14.78,92,0.06,0.04,0.05,182,0.03,0.02,0.03,70.4,80.0,-0.01,-0.06
LBY,Libya,Cntry/Terr,"6,871.287",3.9,5.15,93,0.01,0.04,0.05,183,0.08,0.22,0.25,70.2,75.9,-0.09,-0.16
ZMB,Zambia,Cntry/Terr,"18,383.956",24.7,6.33,93,0.01,0.04,0.04,183,0.03,0.18,0.20,60.9,66.5,-0.05,-0.47
MAR,Morocco,Cntry/Terr,"36,910.558",82.7,5.09,116,0.02,0.04,0.04,206,0.03,0.06,0.07,75.6,77.9,-0.04,-0.19
US15,Hawaii,U.S.A.,"1,439.609",86.5,7.98,93,0.05,0.04,0.04,183,0.08,0.06,0.07,79.0,85.2,-0.06,-0.12
MUS,Mauritius,Cntry/Terr,"1,271.767",626.5,8.71,102,0.03,0.04,0.04,192,0.05,0.06,0.07,71.8,78.4,-0.04,-0.13
GRC,Greece,Cntry/Terr,"10,423.056",80.9,11.09,115,0.06,0.03,0.04,205,0.03,0.02,0.02,80.0,84.7,-0.02,-0.04
COD,Democratic Republic of the Congo,Cntry/Terr,"89,561.404",39.5,9.17,105,0.01,0.03,0.04,195,0.35,1.64,1.88,58.8,61.4,-0.57,-1.09
TGO,Togo,Cntry/Terr,"8,278.737",152.2,8.23,97,0.01,0.03,0.03,187,0.01,0.02,0.03,60.4,61.7,-0.01,-0.51
BEN,Benin,Cntry/Terr,"12,123.198",107.5,8.58,89,0.01,0.03,0.03,179,0.39,1.67,1.92,59.9,62.6,-0.55,-1.03
LBN,Lebanon,Cntry/Terr,"6,825.442",667.2,4.59,116,0.02,0.03,0.03,206,0.09,0.16,0.18,77.2,80.8,-0.12,-0.19
MDG,Madagascar,Cntry/Terr,"27,691.019",47.6,5.85,48,0.01,0.03,0.03,138,0.02,0.09,0.11,65.7,68.7,-0.03,-0.29
TTO,Trinidad and Tobago,Cntry/Terr,"1,399.491",272.8,8.67,101,0.02,0.03,0.03,191,0.60,0.80,0.92,70.5,75.8,-0.45,-0.55
URY,Uruguay,Cntry/Terr,"3,473.727",19.8,9.48,95,0.03,0.03,0.03,185,0.19,0.17,0.20,74.2,81.4,-0.11,-0.21
PSE,State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,101,0.01,0.03,0.03,191,0.00,0.01,0.02,72.6,75.8,-0.01,-0.16
MYS,Malaysia,Cntry/Terr,"32,365.998",98.5,5.27,108,0.01,0.03,0.03,198,0.01,0.01,0.02,74.3,78.4,-0.01,-0.06
TUN,Tunisia,Cntry/Terr,"11,818.618",76.1,6.28,106,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
CUB,Cuba,Cntry/Terr,"11,326.616",106.4,9.29,108,0.03,0.02,0.03,198,0.05,0.04,0.05,76.9,80.8,-0.04,-0.07
NPL,Nepal,Cntry/Terr,"29,136.808",203.3,6.31,49,0.01,0.02,0.02,139,0.01,0.03,0.03,69.5,72.2,-0.01,-0.25
REU,Reunion,Cntry/Terr,895.308,358.1,6.33,45,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
SVK,Slovakia,Cntry/Terr,"5,459.643",113.5,10.12,89,0.02,0.02,0.02,179,0.01,0.01,0.01,74.2,81.0,-0.01,-0.04
PRY,Paraguay,Cntry/Terr,"7,132.530",18.0,5.60,105,0.01,0.02,0.02,195,0.07,0.15,0.17,72.2,76.2,-0.10,-0.24
